# Name : TDRS7
# Contents : BW, DELAY
0, 1.4065202646666666
30, 1.406257743
60, 1.405995011
90, 1.40573207
120, 1.4054689206666666
150, 1.4052055643333334
180, 1.4049420023333334
210, 1.4046782353333334
240, 1.4044142646666666
270, 1.4041500916666667
300, 1.4038857169999999
330, 1.403621142
360, 1.403356368
390, 1.4030913956666666
420, 1.4028262266666667
450, 1.4025608616666667
480, 1.4022953016666666
510, 1.4020295483333334
540, 1.4017636026666667
570, 1.4014974653333332
600, 1.4012311376666666
630, 1.4009646213333333
660, 1.4006979166666667
690, 1.4004310253333334
720, 1.4001639483333332
750, 1.3998966866666667
780, 1.3996292416666667
810, 1.3993616143333334
840, 1.3990938056666666
870, 1.3988258173333334
900, 1.3985576496666665
930, 1.3982893046666667
960, 1.398020783
990, 1.397752086
1020, 1.3974832143333333
1050, 1.39721417
1080, 1.3969449533333334
1110, 1.3966755659999999
1140, 1.396406009
1170, 1.3961362836666666
1200, 1.3958663906666668
1230, 1.3955963316666666
1260, 1.3953261073333334
1290, 1.3950557193333333
1320, 1.3947851686666668
1350, 1.3945144563333334
1380, 1.3942435836666667
1410, 1.393972552
1440, 1.393701362
1470, 1.3934300153333332
1500, 1.3931585126666666
1530, 1.3928868556666667
1560, 1.3926150453333332
1590, 1.3923430829999999
1620, 1.3920709693333333
1650, 1.391798706
1680, 1.391526294
1710, 1.3912537346666667
1740, 1.390981029
1770, 1.390708178
1800, 1.3904351833333333
1830, 1.390162046
1860, 1.389888767
1890, 1.3896153476666666
1920, 1.3893417893333333
1950, 1.3890680930000001
1980, 1.38879426
2010, 1.3885202913333334
2040, 1.3882461879999999
2070, 1.387971952
2100, 1.3876975836666667
2130, 1.387423085
2160, 1.3871484563333334
2190, 1.3868736996666666
2220, 1.3865988156666667
2250, 1.3863238056666667
2280, 1.386048671
2310, 1.3857734126666668
2340, 1.3854980323333335
2370, 1.3852225306666666
2400, 1.3849469093333333
2430, 1.384671169
2460, 1.3843953116666667
2490, 1.3841193376666667
2520, 1.383843249
2550, 1.3835670463333334
2580, 1.383290731
2610, 1.3830143043333332
2640, 1.3827377676666666
2670, 1.382461122
2700, 1.3821843686666668
2730, 1.3819075090000001
2760, 1.381630544
2790, 1.3813534749999998
2820, 1.3810763033333333
2850, 1.3807990303333333
2880, 1.3805216566666665
2910, 1.3802441840000002
2940, 1.3799666136666666
2970, 1.3796889466666666
3000, 1.3794111846666666
3030, 1.379133328
3060, 1.378855379
3090, 1.3785773380000002
3120, 1.378299207
3150, 1.3780209866666666
3180, 1.3777426783333333
3210, 1.3774642833333333
3240, 1.3771858033333333
3270, 1.3769072390000001
3300, 1.3766285916666667
3330, 1.3763498630000002
3360, 1.3760710536666667
3390, 1.3757921653333334
3420, 1.3755131993333334
3450, 1.3752341566666666
3480, 1.3749550386666667
3510, 1.3746758463333333
3540, 1.3743965813333334
3570, 1.3741172449999999
3600, 1.373837838
3630, 1.3735583623333334
3660, 1.3732788186666667
3690, 1.3729992086666667
3720, 1.3727195333333333
3750, 1.3724397943333333
3780, 1.3721599923333334
3810, 1.371880129
3840, 1.3716002056666667
3870, 1.3713202233333333
3900, 1.3710401836666666
3930, 1.3707600873333334
3960, 1.3704799363333333
3990, 1.3701997313333334
4020, 1.369919474
4050, 1.3696391653333333
4080, 1.369358807
4110, 1.3690784
4140, 1.3687979456666668
4170, 1.368517445
4200, 1.3682369
4230, 1.3679563113333333
4260, 1.3676756803333332
4290, 1.3673950086666666
4320, 1.3671142973333332
4350, 1.3668335476666666
4380, 1.366552761
4410, 1.3662719386666666
4440, 1.3659910816666667
4470, 1.3657101916666667
4500, 1.3654292700000001
4530, 1.3651483176666668
4560, 1.3648673363333332
4590, 1.3645863266666667
4620, 1.3643052906666666
4650, 1.3640242293333333
4680, 1.3637431439999999
4710, 1.3634620356666667
4740, 1.363180906
4770, 1.3628997563333334
4800, 1.3626185880000001
4830, 1.362337402
4860, 1.3620562
4890, 1.3617749829999999
4920, 1.3614937523333333
4950, 1.3612125096666667
4980, 1.3609312560000002
5010, 1.3606499926666666
5040, 1.360368721
5070, 1.3600874423333333
5100, 1.3598061583333332
5130, 1.3595248696666666
5160, 1.359243578
5190, 1.3589622846666667
5220, 1.358680991
5250, 1.3583996983333333
5280, 1.3581184076666668
5310, 1.357837121
5340, 1.357555839
5370, 1.357274563
5400, 1.3569932949999999
5430, 1.3567120356666666
5460, 1.3564307866666665
5490, 1.3561495493333333
5520, 1.3558683246666667
5550, 1.3555871143333333
5580, 1.3553059193333334
5610, 1.3550247413333332
5640, 1.3547435816666666
5670, 1.3544624413333333
5700, 1.3541813223333332
5730, 1.353900225
5760, 1.3536191516666667
5790, 1.353338103
5820, 1.3530570806666666
5850, 1.352776086
5880, 1.3524951200000002
5910, 1.3522141843333333
5940, 1.3519332803333333
5970, 1.3516524093333333
6000, 1.3513715726666666
6030, 1.3510907716666667
6060, 1.3508100073333333
6090, 1.3505292816666667
6120, 1.3502485956666668
6150, 1.3499679506666666
6180, 1.3496873476666666
6210, 1.3494067886666667
6240, 1.349126275
6270, 1.3488458073333334
6300, 1.3485653876666666
6330, 1.348285017
6360, 1.348004697
6390, 1.3477244286666668
6420, 1.3474442136666667
6450, 1.3471640533333333
6480, 1.3468839486666666
6510, 1.3466039013333333
6540, 1.3463239126666666
6570, 1.3460439836666667
6600, 1.3457641163333334
6630, 1.3454843116666668
6660, 1.345204571
6690, 1.3449248956666668
6720, 1.3446452873333334
6750, 1.3443657469999999
6780, 1.344086276
6810, 1.3438068760000002
6840, 1.3435275483333333
6870, 1.3432482940000001
6900, 1.342969115
6930, 1.342690012
6960, 1.3424109869999998
6990, 1.3421320406666666
7020, 1.341853175
7050, 1.3415743913333333
